% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:40"
% Dimension,3
% Nodes,34928
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd.Ey)
3.1582864367529795E-8,3.6499247817416176E-7,-1.5640000000000002E-6,-5.949876290939443E7
3.4020959978900315E-8,3.6923149017743327E-7,-1.5640000000000002E-6,-5.949533813164121E7
3.0871338068159134E-8,3.7563910212929595E-7,-1.5640000000000002E-6,-5.956097109664394E7
3.7847916803972766E-8,3.758852554530145E-7,-1.5640000000000002E-6,-5.949003791541663E7
4.028601241534337E-8,3.801242674562862E-7,-1.5640000000000002E-6,-5.9486654222304106E7
3.7136390504602264E-8,3.865318794081489E-7,-1.5640000000000002E-6,-5.95559365927854E7
4.41129692404159E-8,3.8677803273186747E-7,-1.5640000000000002E-6,-5.9481418494586624E7
4.65510648517865E-8,3.910170447351391E-7,-1.5640000000000002E-6,-5.947807588611482E7
4.3401442941045393E-8,3.9742465668700203E-7,-1.5640000000000002E-6,-5.955091163266228E7
5.0378021676859184E-8,3.9767081001072054E-7,-1.5640000000000002E-6,-5.9472904646904446E7
6.130813200229571E-8,3.701942583683745E-7,-1.5640000000000002E-6,-5.949042428320657E7
4.988688174922598E-8,3.6979128453015456E-7,-1.5640000000000002E-6,-5.949256390361449E7
5.6151934185669196E-8,3.8068406180900747E-7,-1.5640000000000002E-6,-5.948397183416481E7
3.846563149615625E-8,3.693883106919346E-7,-1.5640000000000002E-6,-5.94945937113235E7
4.473068393259946E-8,3.802810879707875E-7,-1.5640000000000002E-6,-5.948593552996728E7
5.099573636904259E-8,3.911738652496405E-7,-1.5640000000000002E-6,-5.947738292175887E7
7.029128664399492E-8,3.663582202033229E-7,-1.5640000000000002E-6,-5.9566037093315035E7
6.513508882736832E-8,3.7684802364395576E-7,-1.5640000000000002E-6,-5.95562660031296E7
5.997889101074173E-8,3.8733782708458877E-7,-1.5640000000000002E-6,-5.954633092356982E7
5.482269319411512E-8,3.9782763052522193E-7,-1.5640000000000002E-6,-5.95362318546357E7
6.82847107381095E-8,3.704404116920931E-7,-1.5640000000000002E-6,-5.956224608409475E7
6.312851292148284E-8,3.80930215132726E-7,-1.5640000000000002E-6,-5.9552411176123604E7
5.7972315104856236E-8,3.9142001857335904E-7,-1.5640000000000002E-6,-5.9542412278778106E7
5.28161172882297E-8,4.0190982201399205E-7,-1.5640000000000002E-6,-5.9532249392058276E7
