% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:41"
% Dimension,3
% Nodes,34928
% Expressions,1
% Description,Slice
% X,Y,Z,imag(ewfd.Ey)
1.1649290130280284E-7,3.694752284307123E-7,-1.5640000000000002E-6,-1.782312353911891E7
1.1372701240275002E-7,3.757039753292569E-7,-1.5640000000000002E-6,-1.782548497370807E7
1.2085243302782533E-7,3.756769110041141E-7,-1.5640000000000002E-6,-1.7805495535258625E7
1.2386680835906248E-7,3.799650318713454E-7,-1.5640000000000002E-6,-1.7803612990230694E7
1.2110091945900958E-7,3.861937787698896E-7,-1.5640000000000002E-6,-1.7819483575178824E7
1.282263400840846E-7,3.861667144447469E-7,-1.5640000000000002E-6,-1.7801489852694E7
1.312407154153219E-7,3.904548353119784E-7,-1.5640000000000002E-6,-1.7799828016324E7
1.2847482651526922E-7,3.9668358221052263E-7,-1.5640000000000002E-6,-1.7813903533236384E7
1.3560024714034422E-7,3.9665651788537985E-7,-1.5640000000000002E-6,-1.7798024078054406E7
1.3861462247158155E-7,4.0094463875261136E-7,-1.5640000000000002E-6,-1.779658295034233E7
1.358487335715289E-7,4.0717338565115585E-7,-1.5640000000000002E-6,-1.7808744847880736E7
1.4297415419660423E-7,4.0714632132601307E-7,-1.5640000000000002E-6,-1.7795098211339828E7
1.5289815369429657E-7,3.79854762764323E-7,-1.5640000000000002E-6,-1.7810774255269222E7
1.4084589837419344E-7,3.7990054057504475E-7,-1.5640000000000002E-6,-1.7806930823529758E7
1.4821980543045322E-7,3.9039034401567775E-7,-1.5640000000000002E-6,-1.780429066893969E7
1.287936430540903E-7,3.7994631838576643E-7,-1.5640000000000002E-6,-1.7804301461837E7
1.3616755011035006E-7,3.904361218263995E-7,-1.5640000000000002E-6,-1.7800848680970315E7
1.435414571666097E-7,4.0092592526703245E-7,-1.5640000000000002E-6,-1.7797935808028653E7
1.5757650195814008E-7,3.6931918151296836E-7,-1.5640000000000002E-6,-1.7817518299790643E7
1.619360336831626E-7,3.755208640863701E-7,-1.5640000000000002E-6,-1.7827447936852016E7
1.455242466380371E-7,3.693649593236901E-7,-1.5640000000000002E-6,-1.781782019660949E7
1.5725768541931901E-7,3.860564453377246E-7,-1.5640000000000002E-6,-1.7820373327634815E7
1.3347199131793394E-7,3.694107371344118E-7,-1.5640000000000002E-6,-1.781925062278986E7
1.525793371554755E-7,3.9659202658907925E-7,-1.5640000000000002E-6,-1.7813548345361743E7
1.2141973599783068E-7,3.6945651494513337E-7,-1.5640000000000002E-6,-1.7821809578331746E7
1.4790098889163204E-7,4.0712760784043416E-7,-1.5640000000000002E-6,-1.7806972990032703E7
1.600235743193719E-7,3.798276984391802E-7,-1.5640000000000002E-6,-1.7824551390422028E7
1.5534522605552822E-7,3.9036327969053503E-7,-1.5640000000000002E-6,-1.7817578826063342E7
1.506668777916847E-7,4.0089886094188967E-7,-1.5640000000000002E-6,-1.781085588864874E7
1.4598852952784135E-7,4.114344421932443E-7,-1.5640000000000002E-6,-1.7804382578178212E7
1.1674138773398716E-7,3.799920961964881E-7,-1.5640000000000002E-6,-1.7822901549120814E7
1.241152947902469E-7,3.9048189963712113E-7,-1.5640000000000002E-6,-1.7817072396714445E7
1.3148920184650655E-7,4.0097170307775414E-7,-1.5640000000000002E-6,-1.781166460089483E7
